,ASSETID,SHOPID,SHOPNAME,ASSETSNAME,ASSETSTYPEID,UNITNAME,ADDRESS
0,28954,8118,张村村委,村内道路,4,,村内
1,23987,8118,张村村委,村委大楼,7,栋,村委
2,24013,8118,张村村委,东教学楼,7,间,小学
3,25096,8118,张村村委,北教学楼,8,栋,小学
4,24016,8118,张村村委,西教学楼,8,间,小学
5,23988,8118,张村村委,鑫源门面房,9,间,村
6,15922,8118,张村村委,饮水机,10,台,村委　
7,15739,8118,张村村委,电视机,10,台,村委
8,15921,8118,张村村委,三斗桌,11,张,大队部
9,24030,8118,张村村委,课桌,11,套,小学
10,15336,8118,张村村委,电视柜,11,个,村委
11,25109,8118,张村村委,方登,11,套,村委
12,25107,8118,张村村委,木椅,11,套,村委
13,25103,8118,张村村委,五斗桌,11,套,村委
14,15934,8118,张村村委,沙发,11,套,村委
15,25111,8118,张村村委,书架,11,套,村委
16,25102,8118,张村村委,会议桌,11,套,村委　
17,15920,8118,张村村委,学校办公桌,11,套,小学
18,15735,8118,张村村委,办公桌,11,张,大队部
19,15548,8118,张村村委,办公桌,11,张,村委
20,25105,8118,张村村委,茶机,11,套,村委
21,16505,8118,张村村委,档案柜,11,个,村委
22,26962,8118,张村村委,老板椅,11,把,村委
23,24010,8118,张村村委,舞台,12,座,村委院
24,16212,8118,张村村委,电视机,12,台,小学
25,25092,8118,张村村委,运动场,12,套,小学
26,26964,8118,张村村委,乒乓球案,12,套,小学
27,31329,8118,张村村委,体育器械,17,套,村文化大院
28,25090,8118,张村村委,机井,17,套,村委
29,25099,8118,张村村委,小学机井,17,个,小学
30,28883,8118,张村村委,道路,543,米,村内
31,32004,8118,张村村委,村内道路,543,套,张后、东二、张中、西西、宅沟组
32,16504,8131,杜家村委,南岭房子,7,间,南岭
33,15730,8131,杜家村委,村委大院房子,7,间,村委大院
34,15333,8131,杜家村委,教学楼,8,间,村学校
35,23968,8131,杜家村委,饮水机,10,套,村委　
36,23942,8131,杜家村委,课桌,11,套,村委
37,23967,8131,杜家村委,电风扇,11,台,村委
38,23964,8131,杜家村委,沙发,11,套,村委
39,23953,8131,杜家村委,办公桌椅,11,套,村委
40,23962,8131,杜家村委,办公桌,11,套,村委
41,23966,8131,杜家村委,单人床,11,套,村委
42,23945,8131,杜家村委,书柜,11,套,村委
43,16210,8131,杜家村委,戏楼,12,座,村中间
44,23971,8131,杜家村委,乒乓球案,12,套,村委
45,23969,8131,杜家村委,电视机,12,套,村委
46,23973,8131,杜家村委,机井,13,套,村东05公里处
47,15729,8131,杜家村委,戏鼓,16,个,村委　
48,15732,8131,杜家村委,戏锣,16,个,村委
49,15237,8131,杜家村委,广播机,16,台,村委
50,15731,8131,杜家村委,凳子,16,个,村委
51,16211,8131,杜家村委,戏钗,16,双,村委
52,15733,8131,杜家村委,药具柜,16,个,村委
53,31328,8131,杜家村委,文化体育器材,17,,村大队部
54,23949,8131,杜家村委,路灯,18,盏,村内
55,15746,8142,河南庄村委,电表,6,个,村委　
56,15935,8142,河南庄村委,电线,6,米,村委
57,16367,8142,河南庄村委,办公楼,7,间,村委
58,15318,8142,河南庄村委,原村委办公楼,7,间,村内
59,25826,8142,河南庄村委,电脑,10,套,村委
60,15338,8142,河南庄村委,书柜,11,个,村委
61,15337,8142,河南庄村委,柜,11,个,村委
62,15123,8142,河南庄村委,凳子,11,个,村委
63,15241,8142,河南庄村委,办公桌,11,张,村委
64,15748,8142,河南庄村委,椅子,11,把,村委
65,15745,8142,河南庄村委,药具柜,11,个,村委
66,15744,8142,河南庄村委,计生课桌,11,张,村委
67,15936,8142,河南庄村委,床,11,张,村委
68,15124,8142,河南庄村委,钗,12,个,村委
69,15747,8142,河南庄村委,鼓,12,个,村委
70,16506,8142,河南庄村委,电视机,12,台,村委
71,15240,8142,河南庄村委,小鼓,12,个,村委
72,14896,8142,河南庄村委,衣服,12,套,村委
73,25828,8142,河南庄村委,农家书屋,12,套,村委　
74,16286,8142,河南庄村委,DVD,12,个,村委
75,16283,8142,河南庄村委,球篮,12,付,村委
76,25825,8142,河南庄村委,文化大院,12,座,文化大院
77,15432,8142,河南庄村委,远程教育播放机,14,台,村委　
78,31330,8142,河南庄村委,体育器械,17,,文化大院
79,25829,8142,河南庄村委,道路,18,平方米,村内
80,15751,8151,荆村村委,硬化道路,6,米,西沟
81,15924,8151,荆村村委,牛场,6,间,荆村牛场
82,15339,8151,荆村村委,村委办公楼,7,间,村委
83,23912,8151,荆村村委,电器,10,套,村委
84,23907,8151,荆村村委,竹床,11,套,村委
85,23908,8151,荆村村委,档案柜,11,套,村委
86,14979,8151,荆村村委,凳子,11,个,村委
87,15750,8151,荆村村委,电视柜,11,个,村委
88,15749,8151,荆村村委,桌子,11,张,村委　
89,23909,8151,荆村村委,连椅,11,套,村委
90,15937,8151,荆村村委,高音喇叭,12,个,村委
91,15125,8151,荆村村委,电视机,12,台,村委
92,23919,8151,荆村村委,文化大院,12,套,村委
93,23905,8151,荆村村委,农家书屋,12,套,村委　
94,23906,8151,荆村村委,健身器材,12,套,村委　
95,23910,8151,荆村村委,麻将桌,12,套,村委
96,16287,8151,荆村村委,乒乓球案,12,个,村委
97,23904,8151,荆村村委,篮球架,12,套,村委
98,23911,8151,荆村村委,机井,13,套,荆下
99,31331,8151,荆村村委,体育器械,17,套,文化大院
100,16507,8160,秦村村委,老队部房子,7,间,村委
101,14897,8160,秦村村委,文化大院,7,间,村委会
102,16288,8160,秦村村委,教学楼,8,间,学校
103,23200,8160,秦村村委,电脑,10,台,村委　
104,16508,8160,秦村村委,凳子,11,个,村委
105,15752,8160,秦村村委,柜,11,个,材
106,15147,8160,秦村村委,椅子,11,把,村委
107,23195,8160,秦村村委,沙发,11,套,村委　
108,23197,8160,秦村村委,床,11,套,村委
109,16289,8160,秦村村委,桌子　,11,张,村委
110,23202,8160,秦村村委,农家书屋,12,套,村委　
111,14980,8160,秦村村委,戏楼,12,座,文化大院
112,23203,8160,秦村村委,社火,12,套,村委
113,16368,8160,秦村村委,电视机VCD,12,套,村委
114,23201,8160,秦村村委,监控器,17,个,村内
115,23204,8160,秦村村委,吃水工程,17,套,村西口
116,23205,8160,秦村村委,道路,18,米,村内
117,15551,8170,安北村委,防盗门,6,个,村委
118,15876,8170,安北村委,龙耳寺,6,间,龙耳寺
119,15875,8170,安北村委,村委大院,7,间,村委
120,15433,8170,安北村委,教学楼,8,栋,学校
121,31623,8170,安北村委,水泵,10,台,村部
122,15319,8170,安北村委,电视机　,10,台,村委
123,15878,8170,安北村委,VCD、音响、功放,10,套,村委
124,15877,8170,安北村委,电脑,10,台,村委
125,16509,8170,安北村委,凳子,11,个,村委
126,14981,8170,安北村委,办公桌,11,张,村委
127,15148,8170,安北村委,柜子,11,个,村委
128,31332,8170,安北村委,体育器械,17,套,文化大院
129,30426,8170,安北村委,村内道路,541,米,村内道路
130,15879,8182,漏泉村委,平房,7,间,村部
131,15149,8182,漏泉村委,教学楼,8,栋,小学校
132,24746,8182,漏泉村委,电视机,10,台,村委
133,15242,8182,漏泉村委,计算机,10,台,学校
134,16290,8182,漏泉村委,办公桌、课桌,11,张,学校
135,15880,8182,漏泉村委,凳子,11,个,学校
136,15550,8182,漏泉村委,柜子,11,个,学校
137,23183,8182,漏泉村委,农家书屋,12,套,村委
138,15552,8182,漏泉村委,篮球架,12,付,学校
139,15126,8182,漏泉村委,乒乓球,12,台,学校
140,31333,8182,漏泉村委,体育器械,17,套,文化大院
141,23188,8182,漏泉村委,道路,18,米,村内
142,23125,8195,曹窑村委,平房、瓦房,7,间,村委
143,23127,8195,曹窑村委,砖窑,9,孔,原大队部
144,23135,8195,曹窑村委,电视机,10,套,村委
145,23138,8195,曹窑村委,电脑,10,台,村委
146,23133,8195,曹窑村委,凳子,11,套,村委
147,23129,8195,曹窑村委,办公桌,11,套,村委
148,23130,8195,曹窑村委,会议卓,11,套,村委
149,23142,8195,曹窑村委,柜子,11,套,村委
150,23120,8195,曹窑村委,文化大院,12,套,文化大院
151,23146,8195,曹窑村委,自动麻将桌,12,台,村委
152,28884,8195,曹窑村委,健身器材,12,套,文化大院
153,31334,8195,曹窑村委,体育器械,17,套,文化大院
154,14983,8209,三化沟村委,村委房屋,7,间,村委
155,14900,8209,三化沟村委,电脑,10,台,村委
156,16152,8209,三化沟村委,电暖器,10,台,村委
157,22933,8209,三化沟村委,电风扇,10,套,村委　
158,16511,8209,三化沟村委,电脑,10,台,村委
159,15129,8209,三化沟村委,电视机,10,台,村委
160,22945,8209,三化沟村委,饮水机,10,个,村委　
161,15554,8209,三化沟村委,档案柜,11,个,村委
162,15151,8209,三化沟村委,办公椅,11,张,村委
163,24686,8209,三化沟村委,沙发,11,套,村委
164,16153,8209,三化沟村委,书案,11,个,村委
165,16149,8209,三化沟村委,连椅,11,把,村委
166,15939,8209,三化沟村委,床头柜,11,个,村委
167,22944,8209,三化沟村委,电视柜,11,个,村委　
168,22888,8209,三化沟村委,老板椅,11,把,村委
169,16371,8209,三化沟村委,床,11,床,村委
170,16370,8209,三化沟村委,条桌子,11,张,村委
171,15128,8209,三化沟村委,书柜,11,个,村委
172,15127,8209,三化沟村委,方凳子,11,个,村委
173,24887,8209,三化沟村委,投影机,12,台,村委
