"   ","SHOPID","ACCID","CREDID","FENLUNO","DEBIT","CREDIT","SUBID","BRIEF","ATTRFLAG","READONLY","MEMO","EMPID","DEPID","PROJECTID","BIGAMTID"
"1","8118","1","201901000001","1","16198.67","0.00","505","付办公楼做防水、粉刷墙费用","0","F","","0","0","0",""
"2","8118","1","201901000001","2","1410.00","0.00","505","付门匾门楼改造材料费用","0","F","","0","0","0",""
"3","8118","1","201901000001","3","2200.00","0.00","505","付杨红军租车费用、树木赔偿费用","0","F","","0","0","0",""
"4","8118","1","201901000001","4","365.00","0.00","505","付防盗钥匙费用、换粉","0","F","","0","0","0",""
"5","8118","1","201901000001","5","0.00","20173.67","102","付防盗钥匙费用、换粉","0","F","","0","0","0",""
"6","8118","1","201901000002","1","800.00","0.00","501004","付2019年报刊费","0","F","","0","0","0",""
"7","8118","1","201901000002","2","0.00","800.00","102","付2019年报刊费","0","F","","0","0","0",""
"8","8118","1","201901000003","1","3100.00","0.00","505","付购买LED显示屏费用","0","F","","0","0","0",""
"9","8118","1","201901000003","2","2780.00","0.00","505","付会议台装饰","0","F","","0","0","0",""
"10","8118","1","201901000003","3","1740.00","0.00","505","付产业种植购管子","0","F","","0","0","0",""
"11","8118","1","201901000003","4","960.00","0.00","505","付铝合金、门窗费用","0","F","","0","0","0",""
"12","8118","1","201901000003","5","0.00","8580.00","102","付铝合金、门窗费用","0","F","","0","0","0",""
"13","8118","1","201901000004","1","10740.00","0.00","102","收三门峡义翔铝业拨来青苗补偿费","0","F","","0","0","0",""
"14","8118","1","201901000004","2","0.00","10740.00","403","收三门峡义翔铝业拨来青苗补偿费","0","F","","0","0","0",""
"15","8118","1","201901000005","1","5400.00","0.00","504","付关爱基金","0","F","","0","0","0",""
"16","8118","1","201901000005","2","0.00","5400.00","102","收政府拨来墙体绘画费用","0","F","","0","0","0",""
"17","8118","1","201901000006","1","23400.00","0.00","501003","付2018年组长工资","0","F","","0","0","0",""
"18","8118","1","201901000006","2","7423.00","0.00","501009","付打印复印、办公费、摄像短片费用","0","F","","0","0","0",""
"19","8118","1","201901000006","3","3187.00","0.00","505","付产业种植购买电缆、阀门、电料扫帚等","","F","","0","0","0",""
"20","8118","1","201901000006","4","0.00","34010.00","102","付产业种植购买电缆、阀门、电料扫帚等","","F","","0","0","0",""
"21","8118","1","201901000007","1","28500.00","0.00","505","付安装太阳能路灯款","0","F","","0","0","0",""
"22","8118","1","201901000007","2","0.00","28500.00","102","付安装太阳能路灯款","0","F","","0","0","0",""
"23","8118","1","201901000008","1","80490.00","0.00","102","收政府拨来墙体绘画费用","0","F","","0","0","0",""
"24","8118","1","201901000008","2","0.00","80490.00","406","收政府拨来墙体绘画费用","0","F","","0","0","0",""
"25","8118","1","201901000009","1","240413.00","0.00","102","收政府拨来花椒树苗款、丹参、花椒种植经费","0","F","","0","0","0",""
