"   ","SHOPID","SHOPCODE","SHOPNAME","SHOPTYPE","PARENTID","ISUSED","MEMO","ONLYSHOP"
"1","8089","107","渑池","1","-1","T","",""
"2","8091","107001","城关镇","2","8089","T","",""
"3","10511","107001001","东关村","3","8091","T","",""
"4","10512","107001001001","东关村委","4","10511","T","",""
"5","10518","107001001002","东关一组","4","10511","T","",""
"6","10688","107001001003","东关二组","4","10511","T","",""
"7","10690","107001001004","东关三组","4","10511","T","",""
"8","10692","107001001005","东关四组","4","10511","T","",""
"9","10695","107001001006","东关五（1）组","4","10511","T","",""
"10","10697","107001001007","东关五（2）组","4","10511","T","",""
"11","10698","107001001008","东关六组","4","10511","T","",""
"12","10699","107001001009","东关七组","4","10511","T","",""
"13","10703","107001001010","东关八组","4","10511","T","",""
"14","10704","107001001011","东关九组","4","10511","T","",""
"15","10708","107001001012","东关十组","4","10511","T","",""
"16","10710","107001001013","东关十一组","4","10511","T","",""
"17","10532","107001002","西关村","3","8091","T","",""
"18","10714","107001002001","西关村委","4","10532","T","",""
"19","10715","107001002002","西关一组","4","10532","T","",""
"20","10716","107001002003","西关二组","4","10532","T","",""
"21","10719","107001002004","西关三组","4","10532","T","",""
"22","10720","107001002005","西关四组","4","10532","T","",""
"23","10721","107001002006","西关五组","4","10532","T","",""
"24","10723","107001002007","西关六组","4","10532","T","",""
"25","10724","107001002008","西关七组","4","10532","T","",""
"26","10726","107001002009","西关八组","4","10532","T","",""
"27","10727","107001002010","西关九组","4","10532","T","",""
"28","10728","107001002011","西关十组","4","10532","T","",""
"29","10730","107001002012","西关十一组","4","10532","T","",""
"30","10732","107001002013","西关十二组","4","10532","T","",""
"31","10733","107001002014","西关十三组","4","10532","T","",""
"32","10735","107001002015","西关十四组","4","10532","T","",""
"33","10741","107001002016","西关十五组","4","10532","T","",""
"34","10533","107001003","南街村","3","8091","T","",""
"35","10745","107001003001","南街村委","4","10533","T","",""
"36","10747","107001003002","南街一组","4","10533","T","",""
"37","10749","107001003003","南街二组","4","10533","T","",""
"38","10751","107001003004","南街三组","4","10533","T","",""
"39","10753","107001003005","南街四（1）组","4","10533","T","",""
