"   ","ASSETID","SHOPID","ACCID","EQUIPMENTNO","ASSETSNAME","ASSETSTYPEID","CHANGETYPEID","UNITNAME","INITQTY","CURRQTY","PRICE","RAWVALUE","SPECS","ADDRESS","USESTATUS","CHARGEMAN","INDATE","OPID","OPDATE","INITFLAG","DEPID","MEMO","RENT_NUM","CHANGEAMOUNT","IMAGES","ASSETID","ASSETCODE","ASSETNAME","PARENTID","UNITNAME","ISUSED","MEMO","ISDETAIL"
"1","28954","8118","1","","村内道路","4","2","","1.000000","1.000000","188000.000000","188000.000000","","村内","1","","2013-02-04","191","2013-02-04","F","","2012年度一事一议工程","","188000","","4","0103","公益基础设施","1","套","T","公益基础设施",""
"2","23987","8118","1","","村委大楼","7","2","栋","1.000000","1.000000","1000000.000000","1000000.000000","","村委","1","","2012-10-19","191","2012-12-10","T","","砖混三层，长27米、宽9米2001年建成。一楼为门面、二三楼办公用。2012年三资清查入帐。","","1000000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"3","24013","8118","1","","东教学楼","7","2","间","12.000000","12.000000","1000.000000","150000.000000","","小学","1","","2012-10-19","191","2012-10-26","T","","2007年建成二层12间，2012年三资清查入帐","","150000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"4","25096","8118","1","","北教学楼","8","2","栋","1.000000","1.000000","400000.000000","400000.000000","","小学","1","","2009-10-23","191","2009-10-23","T","","1991年建成，砖混二层14间。","","400000","","8","010102","学校房屋","2","平米","T","学校房屋",""
"5","24016","8118","1","","西教学楼","8","2","间","24.000000","24.000000","2000.000000","560000.000000","","小学","1","","2012-10-19","191","2012-10-26","T","","2009年建成，二层24间2012年三资清查入帐。","","560000","","8","010102","学校房屋","2","平米","T","学校房屋",""
"6","23988","8118","1","","鑫源门面房","9","4","间","6.000000","6.000000","90000.000000","540000.000000","","村","1","","2012-10-19","191","2013-03-18","T","","2012年三资清查入帐。","","540000","","9","010103","其他房屋","2","平米","T","其他房屋",""
"7","15922","8118","1","20110124003","饮水机","10","1","台","1.000000","1.000000","100.000000","100.000000","","村委　","1","村委","2009-01-24","191","2012-12-10","T","","2009年三资清查入帐","0","100","","10","010201","办公设备","3","套","T","办公设备",""
"8","15739","8118","1","20110124008","电视机","10","1","台","2.000000","2.000000","850.000000","1900.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","1900","","10","010201","办公设备","3","套","T","办公设备",""
"9","15921","8118","1","20110121004","三斗桌","11","1","张","2.000000","2.000000","50.000000","100.000000","","大队部","1","村委","2009-10-21","191","2012-12-10","T","","09年三资清查入帐","0","100","","11","010202","办公家具","3","套","T","办公家具",""
"10","24030","8118","1","","课桌","11","8","套","300.000000","300.000000","140.000000","54000.000000","","小学","1","","2012-10-19","191","2012-10-19","T","","省教育厅配置，2012年三资清查入帐","","54000","","11","010202","办公家具","3","套","T","办公家具",""
"11","15336","8118","1","20110124009","电视柜","11","1","个","1.000000","1.000000","300.000000","300.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","300","","11","010202","办公家具","3","套","T","办公家具",""
"12","25109","8118","1","","方登","11","1","套","20.000000","20.000000","15.000000","300.000000","","村委","1","","2009-10-23","191","2009-10-23","T","","","","300","","11","010202","办公家具","3","套","T","办公家具",""
"13","25107","8118","1","","木椅","11","1","套","30.000000","30.000000","30.000000","900.000000","","村委","1","","2012-10-23","191","2012-10-23","T","","","","900","","11","010202","办公家具","3","套","T","办公家具",""
"14","25103","8118","1","","五斗桌","11","1","套","1.000000","1.000000","80.000000","80.000000","","村委","1","","2012-10-23","191","2012-10-23","T","","","","80","","11","010202","办公家具","3","套","T","办公家具",""
"15","15934","8118","1","20110124010","沙发","11","1","套","3.000000","3.000000","2000.000000","6000.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","6000","","11","010202","办公家具","3","套","T","办公家具",""
"16","25111","8118","1","","书架","11","1","套","4.000000","4.000000","250.000000","1000.000000","","村委","1","","2009-10-23","191","2009-10-23","T","","","","1000","","11","010202","办公家具","3","套","T","办公家具",""
"17","25102","8118","1","","会议桌","11","1","套","2.000000","2.000000","80.000000","160.000000","","村委　","1","","2012-10-23","191","2012-10-23","T","","","","160","","11","010202","办公家具","3","套","T","办公家具",""
"18","15920","8118","1","20110121003","学校办公桌","11","1","套","35.000000","35.000000","100.000000","3500.000000","","小学","1","村委","2009-10-21","191","2012-12-10","T","","09年三资清查入帐","0","3500","","11","010202","办公家具","3","套","T","办公家具",""
"19","15735","8118","1","20110121006","办公桌","11","1","张","3.000000","3.000000","400.000000","1200.000000","","大队部","1","村委","2009-10-21","191","2012-12-10","T","","09年三资清查入帐","0","1200","","11","010202","办公家具","3","套","T","办公家具",""
"20","15548","8118","1","20110124012","办公桌","11","1","张","20.000000","20.000000","20.000000","500.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","500","","11","010202","办公家具","3","套","T","办公家具",""
"21","25105","8118","1","","茶机","11","1","套","8.000000","8.000000","250.000000","2000.000000","","村委","1","","2012-10-23","191","2012-10-23","T","","","","2000","","11","010202","办公家具","3","套","T","办公家具",""
"22","16505","8118","1","20110124007","档案柜","11","1","个","1.000000","1.000000","200.000000","200.000000","","村委","1","村委　","2009-10-10","191","2012-12-10","T","","2009年三资清查入帐","0","200","","11","010202","办公家具","3","套","T","办公家具",""
"23","26962","8118","1","","老板椅","11","1","把","2.000000","2.000000","250.000000","500.000000","","村委","1","","2009-12-10","191","2009-12-10","T","","","","500","","11","010202","办公家具","3","套","T","办公家具",""
"24","24010","8118","1","","舞台","12","2","座","1.000000","1.000000","530000.000000","530000.000000","","村委院","1","","2012-10-19","191","2012-10-19","T","","2011年3月俊工，长18米宽14米，包括附属房等。2012年三资清查入帐","","530000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"25","16212","8118","1","20110120005","电视机","12","1","台","2.000000","2.000000","500.000000","1000.000000","","小学","1","村委","2009-12-20","191","2012-12-10","T","","09年三资清查入帐","0","1000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"26","25092","8118","1","","运动场","12","2","套","1.000000","1.000000","30000.000000","30000.000000","","小学","1","","2012-10-23","191","2012-10-23","T","","长25米、宽18米","","30000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"27","26964","8118","1","","乒乓球案","12","1","套","2.000000","2.000000","480.000000","960.000000","","小学","1","","2009-10-29","191","2009-10-29","T","","","","960","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"28","31329","8118","1","","体育器械","17","1","套","1.000000","1.000000","7500.000000","7500.000000","","村文化大院","1","","2013-12-23","191","2013-12-23","F","","","","7500","","17","010502","专用设备","6","个","T","专用设备",""
"29","25090","8118","1","","机井","17","1","套","1.000000","1.000000","100000.000000","100000.000000","","村委","1","","2012-10-23","191","2012-10-30","T","","包括供水设施。","","100000","","17","010502","专用设备","6","个","T","专用设备",""
"30","25099","8118","1","","小学机井","17","1","个","1.000000","1.000000","10000.000000","10000.000000","","小学","1","","2012-10-23","191","2012-10-30","T","","包括供水设施","","10000","","17","010502","专用设备","6","个","T","专用设备",""
"31","28883","8118","1","","道路","543","2","米","100.000000","100.000000","130.000000","13000.000000","","村内","1","","2013-03-28","191","2013-04-08","T","","2012年生态资金修路","","13000","","543","010306","非生产性公益设施","4","套","T","",""
"32","32004","8118","1","","村内道路","543","2","套","1.200000","1.200000","17.130000","20560.000000","","张后、东二、张中、西西、宅沟组","1","","2014-05-04","191","2014-05-04","F","","2013年度一事一议工程项目","","20560","","543","010306","非生产性公益设施","4","套","T","",""
"33","16504","8131","1","20110120002","南岭房子","7","2","间","2.000000","2.000000","500.000000","1000.000000","","南岭","1","村委","2009-12-20","191","2012-10-25","T","","09年三资清查入帐。2090年建。","0","1000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"34","15730","8131","1","20110120001","村委大院房子","7","2","间","23.000000","23.000000","1080.000000","25000.000000","","村委大院","1","村委","2009-12-20","191","2012-12-10","T","","09年三资清查入帐.建于50年代占地700平方米。","0","25000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"35","15333","8131","1","20110120003","教学楼","8","2","间","26.000000","26.000000","11510.000000","300000.000000","","村学校","1","村委","2009-12-20","191","2012-10-25","T","","2000年建。主体砖混结构二层，建筑面积800平方米，占地3.7亩。","0","300000","","8","010102","学校房屋","2","平米","T","学校房屋",""
